israel,judah,100
jerusalem,judah,78
david,israel,73
david,saul,67
israel,moses,67
aaron,moses,66
israel,jerusalem,54
christ,jesus,52
egypt,israel,40
abraham,isaac,34
isaac,jacob,34
israel,jeroboam,33
babylon,judah,32
israel,saul,31
aaron,israel,31
david,jerusalem,30
egypt,pharaoh,28
israel,philistines,27
david,judah,27
israel,sin,26
benjamin,judah,26
philistines,saul,25
jonathan,saul,25
israel,joshua,25
abraham,jacob,25
moses,pharaoh,25
david,philistines,24
david,solomon,23
israel,solomon,22
egypt,moses,22
israel,samaria,21
israel,jordan,21
benjamin,israel,21
david,joab,21
jesus,peter,20
ephraim,judah,20
abner,david,20
ephraim,manasseh,20
jeroboam,nebat,19
israel,jacob,19
jeroboam,sin,19
aaron,eleazar,19
jehoshaphat,judah,18
peter,simon,18
egypt,joseph,18
jerusalem,solomon,18
gilead,manasseh,18
judah,zedekiah,17
israel,moab,17
ammon,israel,17
gad,reuben,17
babylon,jerusalem,17
asa,judah,17
ephraim,israel,17
david,jonathan,17
david,hebron,16
israel,pharaoh,16
amaziah,judah,16
james,john,16
hezekiah,jerusalem,16
christ,paul,16
eleazar,israel,16
aaron,pharaoh,16
ahab,israel,16
heshbon,sihon,15
joab,zeruiah,15
bashan,og,15
assyria,israel,15
israel,samuel,15
jesus,paul,15
babylon,zedekiah,15
hezekiah,judah,15
israel,jehoshaphat,15
joshua,nun,14
judah,samaria,14
eleazar,moses,14
samuel,saul,14
esau,jacob,14
david,jesse,14
israel,reuben,14
israel,manasseh,14
israel,joash,14
galilee,jesus,14
benjamin,jerusalem,14
aaron,egypt,14
joshua,moses,13
egypt,jacob,13
gilead,israel,13
joseph,manasseh,13
jacob,joseph,13
jehoiakim,judah,13
joseph,pharaoh,13
ammon,moab,13
asa,israel,12
judah,manasseh,12
eleazar,ithamar,12
benaiah,jehoiada,12
abner,saul,12
amaziah,israel,12
ahaziah,judah,12
ahab,judah,12
abishai,joab,12
bashan,gilead,12
jericho,jordan,12
jeroboam,judah,12
israel,joseph,12
nebat,sin,12
jeremiah,judah,12
abednego,meshach,12
ahikam,gedaliah,12
eleazar,phinehas,12
assyria,hezekiah,12
benjamin,gibeah,11
dan,israel,11
jacob,leah,11
gedaliah,ishmael,11
joash,judah,11
manasseh,reuben,11
ammon,david,11
machir,manasseh,11
abihu,nadab,11
hebron,israel,11
jesus,simon,11
john,peter,11
james,peter,10
josiah,judah,10
jordan,moses,10
esau,isaac,10
abner,joab,10
absalom,david,10
bashan,manasseh,10
aaron,ithamar,10
ishmael,nethaniah,10
gilead,machir,10
israel,nebat,10
benjamin,saul,9
jerusalem,rehoboam,9
babylon,israel,9
hebron,judah,9
jesus,john,9
jacob,rachel,9
babylon,nebuchadnezzar,9
amaziah,joash,9
jeremiah,jerusalem,9
abner,ner,9
abraham,sarah,9
jesus,sin,9
israel,joab,9
meshach,shadrach,9
jericho,moab,9
jerusalem,zion,9
gibeah,saul,9
israel,rehoboam,9
aaron,abihu,9
abednego,shadrach,9
aaron,nadab,9
gad,manasseh,9
baasha,israel,9
amoz,isaiah,9
balaam,balak,9
egypt,solomon,9
asahel,joab,9
gedaliah,nethaniah,8
hezekiah,israel,8
ner,saul,8
assyria,sennacherib,8
ahaziah,joram,8
jericho,moses,8
beersheba,israel,8
abraham,israel,8
judah,rehoboam,8
abihu,eleazar,8
benjamin,joseph,8
jeremiah,zedekiah,8
cyrus,persia,8
egypt,jerusalem,8
johanan,kareah,8
leah,rachel,8
azariah,judah,8
arnon,aroer,8
asa,baasha,8
ephraim,joseph,8
canaan,israel,8
edom,moab,8
babylon,jeremiah,8
abigail,david,8
gath,philistines,8
benjamin,ephraim,8
eleazar,nadab,8
og,sihon,8
edom,israel,8
david,zadok,8
pekah,remaliah,8
moses,nun,8
christ,sin,8
levi,merari,8
jesus,nazareth,8
david,zobah,7
david,nabal,7
jerusalem,manasseh,7
jacob,rebekah,7
balak,moab,7
absalom,joab,7
beersheba,dan,7
ahaz,jotham,7
moses,sinai,7
nathan,solomon,7
baasha,judah,7
israel,jehu,7
jehoahaz,joash,7
ithamar,nadab,7
ammon,philistines,7
galilee,judaea,7
jesse,saul,7
michal,saul,7
asher,manasseh,7
judah,simeon,7
israel,jonathan,7
isaac,israel,7
laban,rachel,7
jeroboam,solomon,7
bashan,edrei,7
jehoshaphat,jerusalem,7
ishbosheth,saul,7
david,hadarezer,7
david,nathan,7
edom,judah,7
judah,solomon,7
andrew,peter,7
edrei,og,7
abiram,dathan,7
moab,moses,7
zalmunna,zebah,7
jehoahaz,judah,7
absalom,israel,7
abihu,ithamar,7
caleb,jephunneh,7
david,gath,7
aaron,sin,7
jehoram,judah,7
rehoboam,solomon,7
abiathar,david,7
assyria,egypt,7
esther,mordecai,7
aaron,phinehas,7
gad,israel,7
absalom,ahithophel,7
abner,israel,7
bashan,sihon,7
jehu,judah,7
abimelech,shechem,6
asaph,heman,6
achish,david,6
joshua,judah,6
hezekiah,sennacherib,6
gedaliah,mizpah,6
ephraim,jerusalem,6
moses,reuben,6
leah,zilpah,6
judah,remaliah,6
ahikam,babylon,6
gad,moses,6
israel,jehoash,6
andrew,james,6
abner,hebron,6
jeshua,zerubbabel,6
meshach,nebuchadnezzar,6
david,jehoiada,6
abednego,nebuchadnezzar,6
ishmael,mizpah,6
john,zebedee,6
jacob,zilpah,6
balaam,beor,6
amaziah,jehoash,6
gomorrah,sodom,6
andrew,simon,6
kohath,levi,6
ahab,elijah,6
isaac,rebekah,6
abram,sarai,6
abram,lot,6
asher,naphtali,6
ai,joshua,6
ahab,jehoshaphat,6
ahaz,hezekiah,6
solomon,tyre,6
absalom,hushai,6
gibeah,israel,6
judah,uzziah,6
jordan,moab,6
ahikam,ishmael,6
noah,shem,6
israel,kadesh,6
ham,shem,6
amminadab,nahshon,6
jericho,joshua,6
ishmael,johanan,6
babylon,gedaliah,6
david,ishbosheth,6
christ,peter,6
israel,jehoahaz,6
egypt,judah,6
hebron,jerusalem,6
abigail,nabal,6
gedaliah,johanan,6
israel,levi,6
ephraim,gilead,6
israel,jericho,6
jehoiada,zadok,6
jehu,jezreel,6
joseph,lot,6
kish,saul,6
ahab,joram,6
israel,sinai,6
ahab,jehoram,6
ahinoam,david,6
jacob,moses,6
david,michal,6
esau,rebekah,6
